functionality category	label verb	verb count	example sentences
close/end/release/free/finish/dismiss/deactivate/disable	close	8	"[""Disable/Enable local loopback of multicast datagrams The option is used by the platform's networking code as a hint for setting whether multicast data will be looped back to the local socket."", 'Deactivates the Cursor, making all calls on it fail until requery() is called.', 'Deactivates the Cursor, making all calls on it fail until requery() is called.']"
choose/select	choose	2	"['Choose an alias to authenticate the server side of a secure socket given the public key type and the list of certificate issuer authorities recognized by the peer (if any).', 'Choose an alias to authenticate the client side of a secure socket given the public key type and the list of certificate issuer authorities recognized by the peer (if any).', 'Chooses one of the specified TextHitInfo instances as a strong caret in the specified TextLayout.']"
compute/calculate/determine/evaluate/solve/scale/measure/recalculate/multiply/count/figure/subtract/increase/estimate/return	compute	15	"['Returns the trigonometric cosine of an angle.', 'Returns the argument incremented by one, throwing an exception if the result overflows a long.', 'Returns a plain BigDecimal whose value is this-rhs, using fixed point arithmetic.']"
connect/associate/join/combine/concatenate/merge/concat/add/group	connect	9	"['Combines this date with the time of midnight to create a LocalDateTime at the start of this date.', 'Combines this year with a month to create a YearMonth.', 'Combines this instant with a time-zone to create a ZonedDateTime.']"
visit/rescan/scan/walk/iterate/access	visit	6	"['Visits a double value in an annotation.', 'Visits a DOUBLE primitive type by calling defaultAction.', 'Visits a type value in an annotation.']"
apply/reapply/accept/re-apply	apply	4	"['Applies the given attributes to paragraphs.', 'Applies this function to the given arguments.', 'Apply this matrix to the array of 2D points specified by src, and write the transformed points into the array of points specified by dst.']"
report/notify/tell/indicate/prompt	notify	5	"['Report from voice interaction service: this operation has been canceled, typically as a completion of a previous call to cancel() or when the user explicitly cancelled.', 'Notifies that layout was cancelled as a result of a cancellation request.', 'Notifies all listeners that rows in the range [firstRow, lastRow], inclusive, have been updated.']"
compare/return	compare	2	"[""Returns true if the point's coordinates equal (x,y)"", 'Returns true if the class, alignment and span properties of this Spec and the supplied parameter are pairwise equal, false otherwise.', 'Returns true if the two specified arrays of longs are equal to one another.']"
write/record/log/print/output	write	5	"['Prints a message of the specified kind at the location of the annotation value inside the annotation mirror of the annotated element.', 'Prints this table, as specified by the fully featured print method, with the default printer specified as the print service.', 'Print the the trace of methods from where the error originated.']"
append/put/add/insert/push/interpolate/place/install/register/queue/register/enqueue	add	12	"['Inserts the specified element at the end of this deque.', 'Inserts the specified component into the menu at a given position.', 'Inserts a row at row in the model.']"
start/wake/launch/happen/begin/enable	start	6	"['Launches the associated application to open the file.', 'Launches the associated editor application and opens a file for editing.', 'Enables debugging of web contents (HTML / CSS / JavaScript) loaded into any WebViews of this application.']"
replace	replace	1	"['Replaces a substring of this object with the given text.', 'Replaces each element of this list with the result of applying the operator to that element.', 'Replaces a null value type with a newly constructed value.']"
clear/clean/remove/empty	clear	4	"[""Removes all cancelled tasks from this timer's task queue."", 'Removes all location updates for the specified LocationListener.', 'Tells this WebView to clear its internal back/forward list.']"
store/save/dump/retain/cache/stash/serialize/deserialize/persist	store	9	"['Stash the HTML render for the given text into the client properties of the given JComponent.', 'Stores this keystore using the given KeyStore.LoadStoreParmeter.', 'Store a color to use whenever this Icon is drawn.']"
provide/give/supply	provide	3	"['Supply a Drawable that is to be rendered on top of all of the content in the view.', 'Provides a way to determine the next visually represented model location that one might place a caret.', 'Provides the implementation for RMIClassLoader.getClassLoader(String).']"
move/scroll/offset/advance	move	4	"['Scrolls the list within an enclosing viewport to make the specified cell completely visible.', 'Moves the cursor to the remembered cursor position, usually the current row.', 'Move the cursor to an absolute position.']"
remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	remove	13	"['Uninstalls default setting.', 'Removes the specified NodeChangeListener, so it no longer receives change events.', 'Completely abandon the given session, destroying all staged data and rendering it invalid.']"
finish/complete/finalize/complement	finish	4	"['Finishes a multiple-part encryption or decryption operation, depending on how this cipher was initialized.', 'Finishes a multiple-part encryption or decryption operation, depending on how this cipher was initialized.', 'Finishes writing compressed data to the output stream without closing the underlying stream.']"
convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	convert	28	"['Returns a sequential DoubleStream with the specified range of the specified array as its source.', 'Returns an Objects containing the default value for the Object reference within the named element.', 'Returns an array containing the constants of this enum type, in the order they are declared.']"
wait/await/sleep	wait	3	"['Waits if necessary for the computation to complete, and then retrieves its result.', 'Waits if necessary for at most the given time for the computation to complete, and then retrieves its result, if available.', 'Waits for the result of a queue(ByteBuffer) operation Note that this may return requests queued on multiple UsbEndpoints.']"
match	match	1	"[""Match this filter against an Intent's action."", 'Try to match against the path in a url.', 'Attempt to match the text at a given position against an array of quarter strings.']"
read/load/reload	read	3	"['Loads the class with the specified binary name.', 'Loads the custom label set by user in settings.', 'Loads a text file containing MLET tags that define the MBeans to be added to the MBean server.']"
request/ask/give/allow	request	4	"['Requests a copy of the pixels from a Window to be copied into a provided Bitmap.', 'Requests a copy of the pixels at the provided Rect from a Surface to be copied into a provided Bitmap.', 'Requests for the display content of a SurfaceView to be copied into a provided Bitmap.']"
relayout/layout	layout	2	"['Resize copy the input allocation to the output specified.', 'Lays out the specified container.', 'Resumes recording.']"
display/show/present/bring	show	4	"['A convenience method that displays a printing dialog, and then prints this JTable in mode PrintMode.FIT_WIDTH, with no header or footer text.', 'Brings up a dialog displaying a message, specifying all parameters.', 'Brings up an internal dialog panel displaying a message, specifying all parameters.']"
hide/collapse	hide	2	"['Hide the overflow items from the associated menu.', ""Close/hide the input method's soft input area, so the user no longer sees it or can interact with it."", 'Collapse a group in the grouped list view']"
call/invoke/tell/indicate/occur/perform/prompt/notify	call	8	"['Notifies the Android System that an onSaveRequest(SaveRequest, SaveCallback) could not be handled by the service.', 'Notified when a context click occurs.', 'Notified when a tap occurs with the down MotionEvent that triggered it.']"
restore/recover/resume	recover	3	"['Maximizes and restores this internal frame.', 'Restore one record [representing a single file] from the restore dataset.', 'Restores the frame back to its size and position prior to a maximizeFrame call.']"
import	import	1	"['Imports the specified parameters and decodes them according to the primary decoding format for parameters.', 'Imports all of the preferences represented by the XML document on the specified input stream.']"
synchronize 	synchronize 	1	"['Synchronizes two or more lines.', 'Syncs the specified provider.']"
commit/submit	commit	2	"['Commit text to the text box and set the new cursor position.', 'Submits a Runnable task for execution and returns a Future representing that task.', 'Called by the input method to commit content such as a PNG image to the editor.']"
sort	sort	1	"['Sorts the specified range of the array into ascending numerical order.', 'Sorts the specified array into ascending numerical order.', 'Sorts the specified array into ascending numerical order.']"
pin	pin	1	"['Pin shortcuts on a package.', 'Pins a contact at a provided position, or unpins a contact.']"
allocate/reallocate	allocate	2	"['Allocate an array to store items of the type appropriate (which is determined by the subclass).', ""Reallocate this objects internal structures to take up the least possible space, without changing this object's value."", 'Allocates a new direct byte buffer.']"
cumulate/sum	cumulate	2	"['Cumulates, in parallel, each element of the given array in place, using the supplied function.', 'Cumulates, in parallel, each element of the given array in place, using the supplied function.']"
play	play	1	"['Play an item with a specific id in the play queue.', 'Plays the earcon using the specified queueing mode and parameters.', 'Plays the ringtone.']"
inflate/extend	extend	2	"['Inflates the given XML resource and adds the preference hierarchy to the current preference hierarchy.', 'Inflate a new view hierarchy from the specified xml resource.', 'Inflate a new view hierarchy from the specified xml resource.']"
tune	tune	1	"['Tunes to a given channel for TV program recording.', 'Tunes to a given channel.', 'Tunes to a given channel.']"
enter	enter	1	"['This operation enters an association between the specified Object Id and the specified servant in the Active Object Map.', 'Blocks the execution of the current thread and enters a new secondary event loop on the event dispatch thread.']"
toggle	toggle	1	"['This method toggles the input method window display.', 'Toggles the drawer open and close.', 'Toggles the Underline attribute.']"
export	export	1	"['Export the activatable remote object to the RMI runtime to make the object available to receive incoming calls.', 'Exports this RMI object.']"
flash	flash	1	['Flash the screen during a violation.']
intersect	intersect	1	"['Intersect the current clip with the specified rectangle, which is expressed in local coordinates.', 'Intersect the current clip with the specified rectangle, which is expressed in local coordinates.', 'Intersect the current clip with the specified path.']"
validate/authenticate/revalidate	validate	3	"['Validates and parses an argument name or argument number string.', 'Invalidates the layout, indicating that if the layout manager has cached information it should be discarded.', 'Invalidates the layout and resizes the cache of requests/allocations.']"
publish	publish	1	"['Publish the changes in preferences upward to the parent view.', 'Publish the list of shortcuts.']"
redo	redo	1	"['Redoes all changes from the index of the next edit to edit, updating the index of the next edit appropriately.', 'Redoes the appropriate edits.']"
destroy/tear	destroy	2	"['Destroys the named context and removes it from the namespace.', 'Tears down the Connection object.', 'Tears down the environment for the test fixture.']"
flip/rotate/permute/swap/transpose/reverse/shuffle	permute	7	"['Transposes a 4 x 4 matrix.', 'Swap top/bottom or left/right if there are flipped (i.e.', 'Flips to the next card of the specified container.']"
compile	compile	1	"['Compiles the script (source read from Reader) for later execution.', 'Compiles the given regular expression into a pattern with the given flags.']"
collect/recycle/sample	collect	3	['Samples the gesture spatially by rendering the gesture into a 2D grayscale bitmap.']
mark	mark	1	"['Mark the area defined by the rect (l,t,r,b) as needing to be drawn.', 'Mark the area defined by dirty as needing to be drawn.', 'Marks this dream as interactive to receive input events.']"
confirm/ensure/determine	confirm	3	"['Ensures the list view has been created before Activity restores all of the view states.', 'Ensures the expandable list view has been created before Activity restores all of the view states.', 'Ensures all buffered data is written to the underlying Writer and flushes that writer.']"
touch/press	touch	2	"['Simulate touching the center of a view and releasing.', 'Presses one or more mouse buttons.']"
delay/defer/postpone	delay	3	"['This defers a notifyDataSetChanged on the pending RemoteViewsAdapter if it has not connected yet.', 'Postpone the entering Fragment transition until startPostponedEnterTransition() or executePendingTransactions() has been called.']"
split/break/divide	split	3	"['Tries to break this view on the given axis.', 'Splits this string around matches of the given regular expression.', 'Splits this string around matches of the given regular expression.']"
negate	negate	1	"[""Negate the point's coordinates""]"
normalize	normalize	1	"['Normalize a sequence of char values.', ""Normalizes this URI's path.""]"
span	span	1	['Span a string using this UnicodeSet.']
cut	cut	1	['Cuts the text between two indices into the system clipboard.']
redirect/jump/skip/fling/go/navigate	redirect	6	"['Redirect clicks to the IME for handling there.', 'Skips specified number of bytes in the current ZIP entry.', 'Navigate from this activity to the activity specified by upIntent, finishing this activity in the process.']"
list/enumerate	list	2	"['Lists all the alias names of this keystore.', 'Lists all file objects matching the given criteria in the given location.', 'Lists all the locales that are supported.']"
delegate	delegate	1	"['Delegates its functionality to the LayerUI.updateUI(JLayer) method, if LayerUI is set.', 'Delegation call for Stub.writeObject(java.io.ObjectOutputStream).']"
filter	filter	1	"['Filter devices by raw advertisement data, as obtained by getBytes()', 'Filter the touch event to apply security policies.', 'Filter an end element event.']"
simulate	simulate	1	"['Simulate touching the center of a view and releasing quickly (before the tap timeout).', 'Simulate touching in the center of the screen and dragging one quarter of the way up', 'Simulate touching a view and dragging it to a specified location.']"
speak	speak	1	"['Speaks the text using the specified queuing strategy and speech parameters, the text may be spanned with TtsSpans.']"
lock	lock	1	"['Locks the Wi-Fi radio on until release() is called.', 'Re-locks the camera to prevent other processes from accessing it.', 'Locks the SlidingDrawer so that touch events are ignores.']"
respond	respond	1	"['Responds to the beginning of a scaling gesture.', 'Responds to a request for a TopDownLeftRight (TDLR) ordered resend of the pixel data from an ImageConsumer.']"
