id,api_entity_with_single_des_id,qualified_name,single_description,final_annotation_type,core_verb
104,47883,android.security.KeyPairGeneratorSpec.Builder.setEncryptionRequired(),Indicates that this key pair must be encrypted at rest.,65,indicate
105,29029,javax.swing.text.JTextComponent.setEditable(boolean),Sets the specified boolean to indicate whether or not this TextComponent should be editable.,77,set
106,36855,android.content.AbstractThreadedSyncAdapter.onSyncCanceled(),Indicates that a sync operation has been canceled.,69,indicate
107,9079,java.net.HttpCookie.setHttpOnly(boolean),Indicates whether the cookie should be considered HTTP Only.,65,indicate
108,42823,android.location.Criteria.setPowerRequirement(int),Indicates the desired maximum power level.,65,indicate
109,23832,javax.swing.JComponent.setVerifyInputWhenFocusTarget(boolean),Sets the value to indicate whether input verifier for the current focus owner will be called before this component requests focus.,77,set
110,22573,javax.sql.rowset.JoinRowSet.supportsCrossJoin(),Indicates if CROSS_JOIN is supported by a JoinRowSet implementation,65,indicate
111,36294,android.app.usage.NetworkStats.finalize(),Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,9,\N
112,40903,android.icu.lang.UCharacter.isSupplementary(int),[icu] Determines if the code point is a supplementary character.,77,\N
113,4111,"java.awt.TextArea.getMinimumSize(int,int)",Determines the minimum size of a text area with the specified number of rows and columns.,77,determine
114,6403,java.beans.PropertyEditor.supportsCustomEditor(),Determines whether this property editor supports a custom editor.,77,determine
115,39626,android.graphics.SurfaceTexture.finalize(),Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,9,call
116,35222,android.app.MediaRouteActionProvider.overridesItemVisibility(),The result of this method determines whether or not isVisible() will be used by the MenuItem this ActionProvider is bound to help determine its visibility.,53,determine
117,45085,android.net.http.SslError.hasError(int),Determines whether this object includes the supplied error.,77,determine
118,37932,"android.content.pm.PackageManager.resolveService(android.content.Intent,int)",Determine the best service to handle for a given Intent.,71,determine
119,44746,android.net.ConnectivityManager.getRestrictBackgroundStatus(),Determines if the calling application is subject to metered network restrictions while running on background.,77,determine
120,28604,javax.swing.text.AsyncBoxView.getMaximumSpan(int),Determines the maximum span for this view along an axis.,54,determine
121,6889,java.io.DataOutputStream.writeLong(long),"Writes a long to the underlying output stream as eight bytes, high byte first.",1,write
122,31196,"javax.xml.stream.XMLStreamWriter.writeProcessingInstruction(java.lang.String,java.lang.String)",Writes a processing instruction,1,write
123,6809,java.io.BufferedWriter.newLine(),Writes a line separator.,1,write
124,30361,"javax.xml.bind.JAXB.marshal(java.lang.Object,javax.xml.transform.Result)",Writes a Java object tree to XML and store it to the specified location.,1,write
125,56999,"java.nio.channels.SocketChannel.write(java.nio.ByteBuffer,int,int)",Writes a sequence of bytes to this channel from a subsequence of the given buffers.,1,write
126,6989,"java.io.FilterWriter.write(char[],int,int)",Writes a portion of an array of characters.,1,write
127,39539,"android.graphics.Rect.writeToParcel(android.os.Parcel,int)",Write this rectangle to the specified parcel.,1,write
128,57071,"java.nio.file.Files.newOutputStream(java.nio.file.Path,java.nio.file.OpenOption)","Opens or creates a file, returning an output stream that may be used to write bytes to the file.",46,create
129,36183,"android.app.backup.FileBackupHelper.performBackup(android.os.ParcelFileDescriptor,android.app.backup.BackupDataOutput,android.os.ParcelFileDescriptor)","Based on oldState, determine which of the files from the application's data directory need to be backed up, write them to the data stream, and fill in newState with the state as it exists now.",77,\N
130,7321,java.io.StringWriter.write(java.lang.String),Write a string.,1,write
131,43836,android.media.MediaRouter.RouteInfo.requestSetVolume(int),Request a volume change for this route.,6,request
132,56191,android.widget.TextView.setSelected(boolean),Changes the selection state of this view.,57,change
133,54194,"android.webkit.WebViewClient.onScaleChanged(android.webkit.WebView,float,float)",Notify the host application that the scale applied to the WebView has changed.,69,notify
134,34902,"android.app.Fragment.onPictureInPictureModeChanged(boolean,android.content.res.Configuration)",Called by the system when the activity changes to and from picture-in-picture mode.,9,\N
135,33066,org.omg.DynamicAny._DynValueStub.set_to_null(),Changes the representation of a DynValueCommon to a null value type.,31,change
136,6546,java.beans.PropertyEditorSupport.setValue(java.lang.Object),Set (or change) the object that is to be edited.,77,set
137,52432,android.view.View.setOnFocusChangeListener(android.view.View.OnFocusChangeListener),Register a callback to be invoked when focus of this view changed.,61,register
138,44637,"android.media.tv.TvView.onVisibilityChanged(android.view.View,int)",Called when the visibility of the view or an ancestor of the view has changed.,9,call
139,27748,javax.swing.plaf.synth.SynthInternalFrameUI.propertyChange(java.beans.PropertyChangeEvent),This method gets called when a bound property is changed.,9,\N
140,46779,android.preference.Preference.notifyChanged(),Should be called when the data of this Preference has changed.,9,call
141,12791,java.time.LocalDateTime.now(java.time.Clock),Obtains the current date-time from the specified clock.,54,obtain
142,22100,javax.sound.midi.SoundbankResource.getSoundbank(),Obtains the sound bank that contains this SoundbankResource.,54,obtain
143,30197,javax.transaction.xa.XAResource.getTransactionTimeout(),Obtains the current transaction timeout value set for this XAResource instance.,54,obtain
144,13023,java.time.OffsetTime.parse(java.lang.CharSequence),Obtains an instance of OffsetTime from a text string such as 10:15:30+01:00.,54,\N
145,22283,javax.sound.sampled.LineEvent.getType(),Obtains the event's type.,54,obtain
146,22028,javax.sound.midi.MetaMessage.getData(),Obtains a copy of the data for the meta message.,54,obtain
147,46189,android.os.Message.getData(),"Obtains a Bundle of arbitrary data associated with this event, lazily creating it if necessary.",54,obtain
148,30375,javax.xml.bind.JAXBContext.newInstance(java.lang.String),Obtain a new instance of a JAXBContext class.,15,obtain
149,22125,javax.sound.midi.spi.SoundbankReader.getSoundbank(java.net.URL),Obtains a soundbank object from the URL provided.,54,obtain
150,30477,javax.xml.bind.helpers.AbstractUnmarshallerImpl.getXMLReader(),Obtains a configured XMLReader.,54,obtain
151,32340,org.omg.CORBA.portable.InputStream.read_long(),"Reads a CORBA long (that is, Java int) value from this input stream.",43,read
152,38044,android.content.res.AssetFileDescriptor.getFileDescriptor(),Returns the FileDescriptor that can be used to read the data in the file.,54,return
153,18731,javax.imageio.stream.ImageInputStream.readUnsignedByte(),"Reads a byte from the stream, and (conceptually) converts it to an int, masks it with 0xff in order to strip off any sign-extension bits, and returns it as a byte value.",43,read
154,32265,org.omg.CORBA.ValueBaseHolder._read(org.omg.CORBA.portable.InputStream),Reads from input and initalizes the value in the Holder with the unmarshalled data.,43,read
155,22587,javax.sql.rowset.WebRowSet.readXml(java.io.Reader),Reads a WebRowSet object in its XML format from the given Reader object.,43,read
156,7003,"java.io.InputStreamReader.read(char[],int,int)",Reads characters into a portion of an array.,43,read
157,22366,javax.sql.RowSet.isReadOnly(),Retrieves whether this RowSet object is read-only.,54,retrieve
158,6818,"java.io.ByteArrayInputStream.read(byte[],int,int)",Reads up to len bytes of data into an array of bytes from this input stream.,43,read
159,6747,java.io.DataInput.readLong(),Reads eight input bytes and returns a long value.,43,read
160,22856,javax.sql.rowset.serial.SQLInputImpl.wasNull(),Ascertains whether the last value read from this SQLInputImpl object was null.,85,ascertain
161,16943,java.util.logging.Filter.isLoggable(java.util.logging.LogRecord),Check if a given log record should be published.,65,check
162,13547,java.time.chrono.JapaneseDate.isSupported(java.time.temporal.TemporalField),Checks if the specified field is supported.,65,check
163,6417,"java.beans.Beans.isInstanceOf(java.lang.Object,java.lang.Class<?>)",Check if a bean can be viewed as a given target type.,65,check
164,23572,javax.swing.InputVerifier.verify(javax.swing.JComponent),Checks whether the JComponent's input is valid.,65,check
165,3400,java.awt.FontMetrics.hasUniformLineMetrics(),Checks to see if the Font has uniform line metrics.,65,check
166,36830,android.content.SharedPreferences.contains(java.lang.String),Checks whether the preferences contains a preference.,65,check
167,40442,android.hardware.ConsumerIrManager.hasIrEmitter(),Check whether the device has an infrared emitter.,65,check
168,37748,"android.content.pm.LauncherApps.isPackageEnabled(java.lang.String,android.os.UserHandle)",Checks if the package is installed and enabled for a profile.,65,check
169,17082,java.util.logging.StreamHandler.isLoggable(java.util.logging.LogRecord),Check if this Handler would actually log a given LogRecord.,65,check
170,48506,android.speech.tts.TextToSpeech.isSpeaking(),Checks whether the TTS engine is busy speaking.,65,check
171,15844,java.util.concurrent.ConcurrentLinkedDeque.offerFirst(java.util.concurrent.ConcurrentLinkedDeque),Inserts the specified element at the front of this deque.,61,insert
172,8130,"java.lang.StringBuffer.insert(int,java.lang.CharSequence,int,int)",Inserts a subsequence of the specified CharSequence into this sequence.,61,insert
173,32660,org.omg.DynamicAny._DynAnyStub.insert_string(java.lang.String),Inserts a string value into the DynAny.,61,insert
174,32825,org.omg.DynamicAny._DynFixedStub.insert_ulonglong(long),Inserts a long value into the DynAny.,61,insert
175,32709,org.omg.DynamicAny._DynArrayStub.insert_longlong(long),Inserts a long value into the DynAny.,61,insert
176,32989,org.omg.DynamicAny._DynUnionStub.insert_reference(org.omg.CORBA.Object),Inserts a reference to a CORBA object into the DynAny.,61,insert
177,15527,java.util.concurrent.BlockingDeque.offerFirst(java.util.concurrent.BlockingDeque),"Inserts the specified element at the front of this deque if it is possible to do so immediately without violating capacity restrictions, returning true upon success and false if no space is currently available.",61,insert
178,32007,org.omg.CORBA.Any.insert_ulonglong(long),Inserts the given long into this Any object's value field.,61,insert
179,32828,org.omg.DynamicAny._DynFixedStub.insert_wchar(char),Inserts a char value into the DynAny.,61,insert
180,32713,org.omg.DynamicAny._DynArrayStub.insert_string(java.lang.String),Inserts a string value into the DynAny.,61,insert
181,16797,java.util.concurrent.locks.StampedLock.tryConvertToReadLock(long),"If the lock state matches the given stamp, performs one of the following actions.",33,\N
182,15764,"java.util.concurrent.ConcurrentHashMap.forEachValue(long,java.util.function.Consumer<? super java.util.concurrent.ConcurrentHashMap>)",Performs the given action for each value.,33,perform
183,54592,android.widget.AlphabetIndexer.getPositionForSection(int),Performs a binary search or cache lookup to find the first row that matches a given section's starting letter.,33,\N
184,47633,"android.renderscript.ScriptIntrinsicBLAS.CHBMV(int,int,android.renderscript.Float2,android.renderscript.Allocation,android.renderscript.Allocation,int,android.renderscript.Float2,android.renderscript.Allocation,int)","CHBMV performs the matrix-vector operation y := alpha*A*x + beta*y Details: http://www.netlib.org/lapack/explore-html/db/dc2/chbmv_8f.html Note: For a N*N matrix, the input Allocation should also be of size N*N (dimY = N, dimX = N), but only the region N*(K+1) will be referenced.",33,\N
185,50296,"android.text.method.ArrowKeyMovementMethod.right(android.widget.TextView,android.text.Spannable)",Performs a right movement action.,33,perform
186,58370,java.util.function.Consumer.accept(T),Performs this operation on the given argument.,33,perform
187,35092,android.app.Instrumentation.callActivityOnUserLeaving(android.app.Activity),Perform calling of an activity's onUserLeaveHint() method.,33,perform
188,50315,"android.text.method.BaseMovementMethod.pageUp(android.widget.TextView,android.text.Spannable)",Performs a page-up movement action.,33,perform
189,17639,javax.accessibility.AccessibleAction.doAccessibleAction(int),Performs the specified Action on the object,33,perform
190,35109,"android.app.Instrumentation.newApplication(java.lang.ClassLoader,java.lang.String,android.content.Context)",Perform instantiation of the process's Application object.,33,perform
191,44519,android.media.tv.TvInputService.RecordingSession.notifyTuned(android.net.Uri),Informs the application that this recording session has been tuned to the given channel and is ready to start recording.,9,\N
192,6053,java.awt.image.PixelGrabber.grabPixels(),Request the Image or ImageProducer to start delivering pixels and wait for all of the pixels in the rectangle of interest to be delivered.,6,request
193,54309,android.widget.SlidingDrawer.OnDrawerScrollListener.onScrollStarted(),Invoked when the user starts dragging/flinging the drawer's handle.,53,\N
194,50147,"android.text.SpannableStringBuilder.replace(int,int,java.lang.CharSequence,int,int)",Replaces the specified range (st…en) of text in this Editable with a copy of the slice start…end from source.,73,replace
195,59001,org.xmlpull.v1.XmlPullParser.getAttributeNamespace(int),Returns the namespace URI of the attribute with the given index (starts from 0).,54,return
196,2639,java.applet.Applet.start(),Called by the browser or applet viewer to inform this applet that it should start its execution.,9,call
197,36470,android.bluetooth.BluetoothDevice.createInsecureRfcommSocketToServiceRecord(java.util.UUID),Create an RFCOMM BluetoothSocket socket ready to start an insecure outgoing connection to this remote device using SDP lookup of uuid.,9,create
198,37755,"android.content.pm.LauncherApps.startShortcut(java.lang.String,java.lang.String,android.graphics.Rect,android.os.Bundle,android.os.UserHandle)",Starts a shortcut.,78,start
199,5562,java.awt.im.spi.InputMethod.reconvert(),Starts the reconversion operation.,78,start
200,37355,"android.content.ContextWrapper.startIntentSender(android.content.IntentSender,android.content.Intent,int,int,int,android.os.Bundle)","Like startActivity(Intent, Bundle), but taking a IntentSender to start.",53,\N
201,58195,"java.util.concurrent.LinkedTransferQueue.tryTransfer(E,long,java.util.concurrent.TimeUnit)",Transfers the element to a consumer if it is possible to do so before the timeout elapses.,31,transfer
202,57951,java.util.concurrent.BlockingQueue.add(E),"Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions, returning true upon success and throwing an IllegalStateException if no space is currently available.",61,insert
203,51978,android.view.TextureView.draw(android.graphics.Canvas),Subclasses of TextureView cannot do their own rendering with the Canvas object.,53,\N
204,55316,android.widget.NumberPicker.onDraw(android.graphics.Canvas),Implement this to do your drawing.,53,\N
205,35147,android.app.IntentService.onBind(android.content.Intent),"Unless you provide binding for your service, you don't need to implement this method, because the default implementation returns null.",85,\N
206,56237,android.widget.TextView.onDraw(android.graphics.Canvas),Implement this to do your drawing.,53,\N
207,25616,"javax.swing.SwingUtilities.computeDifference(java.awt.Rectangle,java.awt.Rectangle)",Convenience returning an array of rect representing the regions within rectA that do not overlap with rectB.,54,return
208,58179,java.util.concurrent.LinkedBlockingQueue.offer(E),"Inserts the specified element at the tail of this queue if it is possible to do so immediately without exceeding the queue's capacity, returning true upon success and false if this queue is full.",61,insert
209,57634,java.util.AbstractQueue.add(E),"Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions, returning true upon success and throwing an IllegalStateException if no space is currently available.",61,insert
210,46887,android.preference.PreferenceManager.setPreferenceDataStore(android.preference.PreferenceDataStore),Sets a PreferenceDataStore to be used by all Preferences associated with this manager that don't have a custom PreferenceDataStore assigned via setPreferenceDataStore(PreferenceDataStore).,77,set
211,9925,java.nio.channels.SocketChannel.socket(),Retrieves a socket associated with this channel.,64,retrieve
212,11652,java.sql.DatabaseMetaData.supportsANSI92FullSQL(),Retrieves whether this database supports the ANSI92 full SQL grammar supported.,64,retrieve
213,22826,javax.sql.rowset.serial.SerialStruct.getAttributes(),Retrieves an array of Object values containing the attributes of the SQL structured type that this SerialStruct object represents.,64,retrieve
214,37900,android.content.pm.PackageManager.getPreferredPackages(int),Retrieve the list of all currently configured preferred packages.,64,retrieve
215,35816,android.app.WallpaperManager.getDrawable(),"Retrieve the current system wallpaper; if no wallpaper is set, the system built-in static wallpaper is returned.",64,retrieve
216,22336,javax.sql.CommonDataSource.getLogWriter(),Retrieves the log writer for this DataSource object.,64,retrieve
217,37734,android.content.pm.LauncherActivityInfo.getLabel(),Retrieves the label for the activity.,64,retrieve
218,38782,android.drm.DrmEvent.getMessage(),Retrieves the message description associated with this object.,64,retrieve
